LAND_YEAR,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
1995,COBIA,207099.11106023367,329896.85960998764,214,FALSE
1995,"GROUPER, GAG",1585989.6256363809,3365276.7844702876,169,FALSE
1995,"GROUPER, RED",5477147.614925805,8887358.62244415,206,FALSE
1995,"GROUPER, YELLOWEDGE",916668.1894236187,1819766.3083634104,79,FALSE
1995,HOGFISH,27613.16057823707,48165.24940113301,80,FALSE
1995,"MACKEREL, KING",1074295.16,1371320.16,105,FALSE
1995,"MACKEREL, SPANISH",1505450.9115530986,627360.7877279612,172,FALSE
1995,SCAMP,271150.45469460904,585632.6238783438,125,FALSE
1995,"SNAPPER, GRAY",222190.85716260373,371970.0708011586,232,FALSE
1995,"SNAPPER, MUTTON",108033.97155706193,185150.316086025,116,FALSE
1995,"SNAPPER, RED",2947736.9986158814,5772594.344933767,163,FALSE
1995,"SNAPPER, VERMILION",2183441.8824247885,3730659.5591703663,150,FALSE
1995,"SNAPPER, YELLOWTAIL",576873.7842329568,1057691.806471612,108,FALSE
1995,"TRIGGERFISH, GRAY",50049,25895,11,FALSE
1996,"AMBERJACK, GREATER",828465.5352464172,903551.9649556149,125,FALSE
1996,COBIA,206817.7684506799,350110.1443049901,173,FALSE
1996,"GROUPER, GAG",1502076.1446489599,3437412.006724451,144,FALSE
1996,"GROUPER, RED",5102803.293168806,9349809.942622885,168,FALSE
1996,"GROUPER, YELLOWEDGE",579816.4132217057,1302325.6155302795,71,FALSE
1996,HOGFISH,24838.359782683903,43884.32589579148,63,FALSE
1996,"MACKEREL, KING",982188.28,1133979.21,90,FALSE
1996,"MACKEREL, SPANISH",461760.674854657,238758.45373612564,120,FALSE
1996,SCAMP,270196.28021014325,630245.119042267,110,FALSE
1996,"SNAPPER, GRAY",236013.01852893754,392734.23770600656,178,FALSE
1996,"SNAPPER, MUTTON",95374.40485397632,162382.62137483805,79,FALSE
1996,"SNAPPER, RED",4336709.161312473,7918169.258587389,144,FALSE
1996,"SNAPPER, VERMILION",1852641.3108069927,3317943.5577372015,125,FALSE
